
央视卫视,#genre#
大湾区卫视,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_NANFANG/G_NANFANG.m3u8
安多卫视,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_ANDUO/G_ANDUO.m3u8
农林卫视,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_NONGLIN/G_NONGLIN.m3u8
兵团卫视,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
山东教育卫视,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_SDETV/G_SDETV.m3u8
卡酷少儿,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_KAKU/G_KAKU.m3u8
炫动卡通,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_XUANDONG/G_XUANDONG.m3u8
金鹰卡通,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_JINYING/G_JINYING.m3u8
嘉佳卡通,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_JIAJIA/G_JIAJIA.m3u8
优漫卡通,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_YOUMAN/G_YOUMAN.m3u8
CETV1,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-1/G_CETV-1.m3u8
CETV2,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-2/G_CETV-2.m3u8
CETV3,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-3/G_CETV-3.m3u8
CETV4,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-4/G_CETV-4.m3u8
早期教育,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-ZQJY-CQ/G_CETV-ZQJY-CQ.m3u8
云南都市,http://yncbn.ks-cdn.gitv.tv/gitv_escape/G_YNTV-2/G_YNTV-2.m3u8
云南娱乐,http://yncbn.ks-cdn.gitv.tv/gitv_escape/G_YNTV-3/G_YNTV-3.m3u8
云南影视,http://yncbn.ks-cdn.gitv.tv/gitv_escape/G_YNTV-5/G_YNTV-5.m3u8
云南康旅,http://yncbn.ks-cdn.gitv.tv/gitv_escape/G_YNTV-6/G_YNTV-6.m3u8
陕西新闻,http://sncbn.ch-cdn.gitv.tv/gitv_escape/G_SHANXI-1-HQ/G_SHANXI-1-HQ.m3u8
陕西青春,http://sncbn.ch-cdn.gitv.tv/gitv_escape/G_SHANXI-2-HQ/G_SHANXI-2-HQ.m3u8

CCTV1-综合,http://39.165.24.218:808/hls/1/index.m3u8
CCTV2-财经,http://39.165.24.218:808/hls/2/index.m3u8
CCTV3-综艺,http://39.165.24.218:808/hls/3/index.m3u8
CCTV4-国际,http://39.165.24.218:808/hls/4/index.m3u8
CCTV5-体育,http://60.190.18.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育,http://39.165.24.218:808/hls/5/index.m3u8
CCTV6-电影,http://39.165.24.218:808/hls/6/index.m3u8
CCTV7-军农,http://39.165.24.218:808/hls/7/index.m3u8
CCTV8-电视剧,http://39.165.24.218:808/hls/8/index.m3u8
CCTV9-纪录,http://39.165.24.218:808/hls/9/index.m3u8
CCTV10-科教,http://39.165.24.218:808/hls/10/index.m3u8
CCTV11-戏曲,http://39.165.24.218:808/hls/11/index.m3u8
CCTV12-社会与法,http://39.165.24.218:808/hls/12/index.m3u8
CCTV13-新闻,http://39.165.24.218:808/hls/13/index.m3u8
CCTV14-少儿,http://39.165.24.218:808/hls/14/index.m3u8
CCTV15-音乐,http://39.165.24.218:808/hls/15/index.m3u8
河南卫视,http://39.165.24.218:808/hls/24/index.m3u8
法制频道,http://39.165.24.218:808/hls/27/index.m3u8
公共频道,http://39.165.24.218:808/hls/31/index.m3u8
新农村频道,http://39.165.24.218:808/hls/32/index.m3u8
晴彩中原,http://39.165.24.218:808/hls/34/index.m3u8
移动戏曲,http://39.165.24.218:808/hls/35/index.m3u8
文物宝库,http://39.165.24.218:808/hls/36/index.m3u8
梨园频道,http://39.165.24.218:808/hls/37/index.m3u8
